Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-06-08,B8Sragt8qx,HpJxPvuCBP,xE8PG49cRn,Dumbbell Clean,11,7.0,fake_id_944
2021-08-03,G2lisW92Ka,erjFOF21dc,cDEuD9Qlwl,Reverse Barbell Curl,20,20.41168092460379,fake_id_947
2021-06-15,PTMd2ANxjd,UThEK7cf4f,p6xEFHQluL,Machine Fly,12,86.18265279277155,fake_id_949
2021-10-14,JlAeoQdJPv,qfkBJ4A5eQ,4ypbpzLEMO,Dead Bug,10,0.0,fake_id_950
2021-07-16,Mc3sOU4Cc2,y2Gg0PEzd8,BhpWGeQXPG,Preacher Curl,11,15.0,fake_id_986
2021-05-07,32L66tk6ku,qfkBJ4A5eQ,giHyDyrzOS,Dead Bug,8,0.0,fake_id_951
2021-04-03,5dDXXfcbwu,9fptvki4pW,65FdFcxq8l,Barbell Hip Thrust,12,40.0,fake_id_988
2021-09-30,a3zjwcIdBK,wNImc4b4MY,K3sid8iqsw,Leg Curl,8,27.215574566138386,fake_id_972
2021-01-12,0BOdDJfG8Y,erjFOF21dc,36NDh9WQBx,Reverse Barbell Curl,10,11.339822735890994,fake_id_981
2021-09-09,gRzfi5w1vg,AF7Qq7XK2r,xaji2IcGwz,Air Squats,40,0.0,fake_id_950
2021-06-30,TWhkvzo5tz,zJlvUiMLou,boyf8tmSDQ,Barbell Incline Bench Press,15,52.16318458509857,fake_id_954
2021-11-22,tKAZLskXbw,djuvlRHUvb,G1spgVaVVo,Dumbbell Rear Delt Raise,10,12.473805009480094,fake_id_950
2021-11-11,evnDbGAZo4,k4ivWt2zuv,WYoyjcV8Xx,Barbell Glute Bridge,6,89.0,fake_id_951
2021-05-06,mzwDNwxxOW,k3yxx2a6oz,gdGAFr8TWC,Seated Machine Calf Press,12,52.16318458509857,fake_id_949
2021-01-02,ZWJ4VhNJZ1,xPS7RzoOGm,HZif8CDdDz,Bent Over Barbell Row,8,43.091326396385774,fake_id_947
2021-03-29,mneB6Clp0v,AOQBAQ8rXC,hzksxOalUy,Pendlay Row,12,22.67964547178199,fake_id_950
2021-07-05,rkaqOXqFEk,Yw1aA3soIp,UE7QT6vjJe,Dumbbell Sumo Squat,15,7.937875915123695,fake_id_945
2021-10-29,jlh9q7Nv8B,G1mxtZtEs5,Kiol71Bfhh,Back Squat,12,61.235042773811365,fake_id_949
2021-03-17,tHeFDeLWZt,G1mxtZtEs5,3k9sxujfPN,Back Squat,8,129.27397918915733,fake_id_949
2021-04-15,jVBnvwVC38,9fptvki4pW,FDVVXbW5YO,Barbell Hip Thrust,16,9.071858188712795,fake_id_940
2021-01-02,HARONTHKIr,N6zu9IJNBz,ruVuRcfMcY,Leg Raise,25,2.267964547178199,fake_id_949
2021-02-24,U3Jh93KGrH,AF7Qq7XK2r,ixeIs5xcV0,Air Squats,10,0.0,fake_id_965
2021-01-09,pUf42u7ISN,djuvlRHUvb,jhsQxLcrME,Dumbbell Rear Delt Raise,8,3.628743275485118,fake_id_955
2021-05-07,erFE5dfFFg,wNarovWdLy,sKxOU3SSEj,Cable Crunch,10,29.483539113316585,fake_id_941
2021-03-26,H1XXxizQeO,k4ivWt2zuv,WIy2vrOU2I,Barbell Glute Bridge,8,52.16318458509857,fake_id_972
2021-05-25,oqAzpT2o0c,243X43p1XP,SPJifBRsvS,Seated Leg Curl,15,45.35929094356398,fake_id_953
2021-05-06,VLesTuN1Nj,163u4e1Em9,q6SrTj6HPs,Hammerstrength Shrug,12,45.35929094356398,fake_id_953
